id;file_name_uz;file_name_ru;file_name_kr;path;original_file_name;content_type;file_size;suffix;thumbnail_file_name;bucket_name
1;Savings;Sri;Rustic;of;Squares Team-oriented bypass;maximize primary Pre-emptive;1122;cyan inv;Arab Usability Yuan;Soft Land brand
2;Car one-to-one;Central;turn-key;customized GB Cotton;benchmark transform Cotton;Granite front-end Games;59197;methodol;connect;Pennsylvania synergy
3;well-modulated;Wells Account input;Ecuador partnerships;Bacon;Adaptive deposit Corporate;Brooks Island bricks-and-clicks;86644;synergis;Polarised Concrete;Bacon
4;Bangladesh Health Direct;Cambridgeshire quantifying;Ridges TCP Networked;Small indexing Keyboard;USB;Toys;50281;wireless;Tactics program protocol;mesh Organized
5;Mauritania synergize connect;connect Strategist Oman;vortals drive;Fish Tanzania implementation;teal;Avon synergize content;98988;Senior S;time-frame Lari navigating;Intelligent Cotton
6;Buckinghamshire;mission-critical;firewall Direct;Cotton Refined withdrawal;calculate program Romania;Bedfordshire payment;83675;Borders ;Handmade;Computer Concrete Administrator
7;Chief;Applications;capacitor quantifying;Forest compress Engineer;withdrawal Soft;invoice Hat Cotton;20640;withdraw;Leu Argentina;Decentralized
8;Arkansas circuit calculating;application Automotive;Buckinghamshire;Spurs invoice;indexing Handmade;payment;58075;eyeballs;Forward;platforms
9;deploy Architect online;deploy intermediate Avon;Liaison optimal;firmware;conglomeration USB implementation;management mobile;9609;Cotton I;JSON Unbranded Direct;Shirt Division withdrawal
10;Tasty;Developer secured;navigate Chicken Maine;eyeballs Florida;Handcrafted;productivity matrix;8940;Represen;program;Regional Account Directives
