id;start_date;end_date;language
1;2022-09-28T08:50:56;2022-09-28T06:41:11;ENGLISH
2;2022-09-27T18:18:31;2022-09-28T03:44:00;FRENCH
3;2022-09-28T04:14:43;2022-09-27T16:19:51;SPANISH
4;2022-09-28T08:45:32;2022-09-27T14:11:51;FRENCH
5;2022-09-28T11:01:55;2022-09-27T19:20:53;ENGLISH
6;2022-09-27T20:32:38;2022-09-28T10:32:58;SPANISH
7;2022-09-28T04:36:26;2022-09-27T15:10:35;FRENCH
8;2022-09-27T19:02:19;2022-09-27T15:38:08;FRENCH
9;2022-09-27T19:53:57;2022-09-28T07:25:23;FRENCH
10;2022-09-27T15:50:55;2022-09-28T08:48:24;FRENCH
