id;title_uz;title_ru;title_kr;web_url;youtube_url
1;Borders;driver port Associate;Dynamic Berkshire Mouse;Refined parse;Vatu redundant
2;Account Mountains blue;Maryland Incredible Branch;Buckinghamshire;Berkshire interface;Montserrat exploit
3;North encoding;feed TCP Walks;Account Tennessee Operations;Fish New;Berkshire Corporate Buckinghamshire
4;grey withdrawal Shoes;quantify;Executive;Security;Lari
5;Corporate;GB programming deposit;Pre-emptive Metal;Tools Metrics;Lempira granular Dinar
6;index Fresh;fuchsia Central;Delaware connect Switchable;synthesize Fantastic;blue reboot Savings
7;white generating Ramp;Metal deposit Cheese;Cotton cutting-edge reintermediate;contextually-based;Tactics engineer
8;Multi-layered demand-driven;Unbranded systems;web-readiness Towels Bahamas;Rubber Dollar;paradigm
9;Oregon Re-engineered feed;definition client-driven Organic;Avon Buckinghamshire;PCI optical;reboot Dinar Sausages
10;Bahrain Intelligent Riel;local;Pants;override USB;holistic grow
