id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;posted_date
1;tangible;leading-edge multi-byte HTTP;Route Creative Cheese;Configurable Krona applications;innovate Louisiana District;Borders program Mouse;2022-09-28
2;National Rapid;Kids high-level generate;Computers violet;Generic artificial Analyst;Mouse Buckinghamshire Regional;interactive;2022-09-28
3;Oregon Metal Officer;Crest Data indexing;HTTP Switchable Visionary;Customer-focused;Tasty;Ergonomic Central synthesize;2022-09-28
4;Bedfordshire Prairie Soap;interactive Nigeria;stable full-range Health;dedicated;Rupee web-readiness;drive;2022-09-27
5;1080p Interactions Buckinghamshire;deposit deliverables Checking;Architect Sausages Plastic;withdrawal;Frozen;content;2022-09-28
6;primary deposit e-services;Turkish;expedite;SCSI attitude-oriented;brand Facilitator Taiwan;administration Texas;2022-09-27
7;bypass;empower;card;Soap magenta hack;Awesome;function experiences Sports;2022-09-28
8;International pixel Towels;Fresh content-based visualize;transparent;Lights online Accountability;Ameliorated Customer;loyalty;2022-09-27
9;compressing quantify;mindshare iterate;disintermediate;Fresh open-source Tasty;Oregon;Bacon Movies;2022-09-28
10;granular;RAM matrix Pitcairn;Hawaii;Industrial Borders Architect;deposit distributed;calculating Lead compressing;2022-09-27
